% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2
2.001	1	1	201	2	1	0	349	0	0
2.002	1	1	201	3	1	0	349	0	0
2.003	1	1	201	4	1	0	349	0	0
2.004	1	1	201	5	1	0	349	0	0
3.001	1	1	301	2	1	28	9422	0	0
4.001	1	1	401	2	1	28	9422	0	0
5.001	1	1	501	2	1	28	9422	0	0
6.001	1	1	601	2	1	28	9422	0	0
7.001	1	1	701	2	1	28	9422	0	0
8.001	1	1	801	2	1	28	9422	0	0
9.001	1	1	901	2	1	28	9422	0	0
10.001	1	1	1001	2	1	28	9422	0	0
11.001	1	1	1101	2	1	28	9422	0	0
12.001	1	1	1201	2	1	28	9422	0	0
13.001	1	1	1301	2	1	28	9422	0	0
14.001	1	1	1401	2	1	28	9422	0	0
15.001	1	1	1501	2	1	28	9422	0	0
16.001	1	1	1601	2	1	28	9422	0	0
17.001	1	1	1701	2	1	28	9422	0	0
18.001	1	1	1801	2	1	28	9422	0	0
19.001	1	1	1901	2	1	28	9422	0	0
20.001	1	1	2001	2	1	28	9422	0	0
21.001	1	1	2101	2	1	28	9422	0	0
22.001	1	1	2201	2	1	28	9422	0	0
23.001	1	1	2301	2	1	28	9422	0	0
24.001	1	1	2401	2	1	28	9422	0	0
25.001	1	1	2501	2	1	28	9422	0	0
26.001	1	1	2601	2	1	28	9422	0	0
27.001	1	1	2701	2	1	28	9422	0	0
28.001	1	1	2801	2	1	28	9422	0	0
29.001	1	1	2901	2	1	28	9422	0	0
30.001	1	1	3001	2	1	28	9422	0	0
31.001	1	1	3101	2	1	28	9422	0	0
32.001	1	1	3201	2	1	28	9422	0	0
33.001	1	1	3301	2	1	28	9422	0	0
34.001	1	1	3401	2	1	28	9422	0	0
35.001	1	1	3501	2	1	28	9422	0	0
36.001	1	1	3601	2	1	28	9422	0	0
37.001	1	1	3701	2	1	28	9422	0	0
38.001	1	1	3801	2	1	28	9422	0	0
39.001	1	1	3901	2	1	28	9422	0	0
40.001	1	1	4001	2	1	26	7708	0	0
41.001	1	1	4101	2	1	26	7708	0	0
42.001	1	1	4201	2	1	26	7708	0	0
43.001	1	1	4301	2	1	26	7708	0	0
44.001	1	1	4401	2	1	26	7708	0	0
45.001	1	1	4501	2	1	26	7708	0	0
46.001	1	1	4601	2	1	24	6882	0	0
47.001	1	1	4701	2	1	24	6882	0	0
48.001	1	1	4801	2	1	24	6882	0	0
49.001	1	1	4901	2	1	24	6882	0	0
50.001	1	1	5001	2	1	24	6882	0	0
51.001	1	1	5101	2	1	24	6882	0	0
52.001	1	1	5201	2	1	24	6882	0	0
53.001	1	1	5301	2	1	24	6882	0	0
54.001	1	1	5401	2	1	24	6882	0	0
55.001	1	1	5501	2	1	24	6882	0	0
56.001	1	1	5601	2	1	24	6882	0	0
57.001	1	1	5701	2	1	22	5861	0	0
58.001	1	1	5801	2	1	22	5861	0	0
59.001	1	1	5901	2	1	22	5861	0	0
60.001	1	1	6001	2	1	22	5861	0	0
61.001	1	1	6101	2	1	22	5861	0	0
62.001	1	1	6201	2	1	22	5861	0	0
63.001	1	1	6301	2	1	22	5861	0	0
64.001	1	1	6401	2	1	22	5861	0	0
65.001	1	1	6501	2	1	22	5861	0	0
66.001	1	1	6601	2	1	22	5861	0	0
67.001	1	1	6701	2	1	22	5861	0	0
68.001	1	1	6801	2	1	22	5861	0	0
69.001	1	1	6901	2	1	22	5861	0	0
70.001	1	1	7001	2	1	22	5861	0	0
71.001	1	1	7101	2	1	20	4904	0	0
72.001	1	1	7201	2	1	20	4904	0	0
73.001	1	1	7301	2	1	20	4904	0	0
74.001	1	1	7401	2	1	20	4904	0	0
75.001	1	1	7501	2	1	20	4904	0	0
76.001	1	1	7601	2	1	20	4904	0	0
77.001	1	1	7701	2	1	20	4904	0	0
78.001	1	1	7801	2	1	20	4904	0	0
79.001	1	1	7901	2	1	20	4904	0	0
80.001	1	1	8001	2	1	20	4904	0	0
81.001	1	1	8101	2	1	20	4904	0	0
82.001	1	1	8201	2	1	20	4904	0	0
83.001	1	1	8301	2	1	20	4904	0	0
84.001	1	1	8401	2	1	20	4904	0	0
85.001	1	1	8501	2	1	20	4904	0	0
86.001	1	1	8601	2	1	20	4904	0	0
87.001	1	1	8701	2	1	20	4904	0	0
88.001	1	1	8801	2	1	20	4904	0	0
89.001	1	1	8901	2	1	18	4107	0	0
90.001	1	1	9001	2	1	18	4107	0	0
91.001	1	1	9101	2	1	18	4107	0	0
92.001	1	1	9201	2	1	18	4107	0	0
93.001	1	1	9301	2	1	18	4107	0	0
94.001	1	1	9401	2	1	18	4107	0	0
95.001	1	1	9501	2	1	18	4107	0	0
96.001	1	1	9601	2	1	18	4107	0	0
97.001	1	1	9701	2	1	18	4107	0	0
98.001	1	1	9801	2	1	18	4107	0	0
99.001	1	1	9901	2	1	18	4107	0	0
100.001	1	1	10001	2	1	18	4107	0	0
101.001	1	1	10101	2	1	18	4107	0	0
102.001	1	1	10201	2	1	18	4107	0	0
103.001	1	1	10301	2	1	18	4107	0	0
104.001	1	1	10401	2	1	18	4107	0	0
105.001	1	1	10501	2	1	18	4107	0	0
106.001	1	1	10601	2	1	18	4107	0	0
107.001	1	1	10701	2	1	18	4107	0	0
108.001	1	1	10801	2	1	18	4107	0	0
109.001	1	1	10901	2	1	18	4107	0	0
110.001	1	1	11001	2	1	18	4107	0	0
111.001	1	1	11101	2	1	18	4107	0	0
112.001	1	1	11201	2	1	16	3822	0	0
113.001	1	1	11301	2	1	16	3822	0	0
114.001	1	1	11401	2	1	16	3822	0	0
115.001	1	1	11501	2	1	16	3822	0	0
116.001	1	1	11601	2	1	16	3822	0	0
117.001	1	1	11701	2	1	16	3822	0	0
118.001	1	1	11801	2	1	16	3822	0	0
119.001	1	1	11901	2	1	16	3822	0	0
120.001	1	1	12001	2	1	16	3822	0	0
121.001	1	1	12101	2	1	16	3822	0	0
122.001	1	1	12201	2	1	16	3822	0	0
123.001	1	1	12301	2	1	16	3822	0	0
124.001	1	1	12401	2	1	16	3822	0	0
125.001	1	1	12501	2	1	16	3822	0	0
126.001	1	1	12601	2	1	16	3822	0	0
127.001	1	1	12701	2	1	14	3182	0	0
128.001	1	1	12801	2	1	14	3182	0	0
129.001	1	1	12901	2	1	14	3182	0	0
130.001	1	1	13001	2	1	14	3182	0	0
131.001	1	1	13101	2	1	14	3182	0	0
132.001	1	1	13201	2	1	14	3182	0	0
133.001	1	1	13301	2	1	14	3182	0	0
134.001	1	1	13401	2	1	14	3182	0	0
135.001	1	1	13501	2	1	14	3182	0	0
136.001	1	1	13601	2	1	14	3182	0	0
137.001	1	1	13701	2	1	14	3182	0	0
138.001	1	1	13801	2	1	14	3182	0	0
139.001	1	1	13901	2	1	14	3182	0	0
140.001	1	1	14001	2	1	14	3182	0	0
141.001	1	1	14101	2	1	14	3182	0	0
142.001	1	1	14201	2	1	14	3182	0	0
143.001	1	1	14301	2	1	14	3182	0	0
144.001	1	1	14401	2	1	14	3182	0	0
145.001	1	1	14501	2	1	14	3182	0	0
146.001	1	1	14601	2	1	14	3182	0	0
147.001	1	1	14701	2	1	14	3182	0	0
148.001	1	1	14801	2	1	14	3182	0	0
149.001	1	1	14901	2	1	14	3182	0	0
150.001	1	1	15001	2	1	14	3182	0	0
151.001	1	1	15101	2	1	14	3182	0	0
152.001	1	1	15201	2	1	14	3182	0	0
153.001	1	1	15301	2	1	14	3182	0	0
154.001	1	1	15401	2	1	14	3182	0	0
155.001	1	1	15501	2	1	14	3182	0	0
156.001	1	1	15601	2	1	14	3182	0	0
157.001	1	1	15701	2	1	14	3182	0	0
158.001	1	1	15801	2	1	14	3182	0	0
159.001	1	1	15901	2	1	12	2481	0	0
160.001	1	1	16001	2	1	12	2481	0	0
161.001	1	1	16101	2	1	12	2481	0	0
162.001	1	1	16201	2	1	12	2481	0	0
163.001	1	1	16301	2	1	12	2481	0	0
164.001	1	1	16401	2	1	12	2481	0	0
165.001	1	1	16501	2	1	12	2481	0	0
166.001	1	1	16601	2	1	12	2481	0	0
167.001	1	1	16701	2	1	12	2481	0	0
168.001	1	1	16801	2	1	12	2481	0	0
169.001	1	1	16901	2	1	12	2481	0	0
170.001	1	1	17001	2	1	12	2481	0	0
171.001	1	1	17101	2	1	12	2481	0	0
172.001	1	1	17201	2	1	12	2481	0	0
173.001	1	1	17301	2	1	12	2481	0	0
174.001	1	1	17401	2	1	12	2481	0	0
175.001	1	1	17501	2	1	12	2481	0	0
176.001	1	1	17601	2	1	12	2481	0	0
177.001	1	1	17701	2	1	12	2481	0	0
178.001	1	1	17801	2	1	12	2481	0	0
179.001	1	1	17901	2	1	12	2481	0	0
180.001	1	1	18001	2	1	12	2481	0	0
181.001	1	1	18101	2	1	12	2481	0	0
182.001	1	1	18201	2	1	12	2481	0	0
183.001	1	1	18301	2	1	12	2481	0	0
184.001	1	1	18401	2	1	12	2481	0	0
185.001	1	1	18501	2	1	12	2481	0	0
186.001	1	1	18601	2	1	12	2481	0	0
187.001	1	1	18701	2	1	12	2481	0	0
188.001	1	1	18801	2	1	12	2481	0	0
189.001	1	1	18901	2	1	12	2481	0	0
190.001	1	1	19001	2	1	12	2481	0	0
191.001	1	1	19101	2	1	12	2481	0	0
192.001	1	1	19201	2	1	12	2481	0	0
193.001	1	1	19301	2	1	12	2481	0	0
