% time	cellId	IMSI	frame	sframe	RNTI	mcs	size
2.014	1	1	202	5	1	0	349
2.015	1	2	202	6	2	0	349
2.016	1	1	202	7	1	0	349
2.017	1	2	202	8	2	0	349
2.018	1	1	202	9	1	0	349
2.019	1	2	202	10	2	0	349
2.02	1	1	203	1	1	0	349
3.011	1	2	302	2	2	28	9422
3.012	1	1	302	3	1	28	9422
4.011	1	2	402	2	2	0	349
4.012	1	1	402	3	1	0	349
4.013	1	2	402	4	2	0	349
4.014	1	1	402	5	1	0	349
4.015	1	2	402	6	2	0	349
4.016	1	1	402	7	1	0	349
4.017	1	2	402	8	2	28	9422
4.018	1	1	402	9	1	28	9422
5.011	1	2	502	2	2	28	9422
5.012	1	1	502	3	1	28	9422
6.011	1	2	602	2	2	28	9422
6.012	1	1	602	3	1	28	9422
7.011	1	2	702	2	2	0	349
7.012	1	1	702	3	1	0	349
7.013	1	2	702	4	2	0	349
7.014	1	1	702	5	1	0	349
7.015	1	2	702	6	2	0	349
7.016	1	1	702	7	1	0	349
7.017	1	2	702	8	2	26	7708
7.018	1	1	702	9	1	26	7708
8.011	1	2	802	2	2	24	6882
8.012	1	1	802	3	1	24	6882
9.011	1	2	902	2	2	24	6882
9.012	1	1	902	3	1	24	6882
10.011	1	2	1002	2	2	0	349
10.012	1	1	1002	3	1	0	349
10.013	1	2	1002	4	2	0	349
10.014	1	1	1002	5	1	0	349
10.015	1	2	1002	6	2	0	349
10.016	1	1	1002	7	1	0	349
10.017	1	2	1002	8	2	22	5861
10.018	1	1	1002	9	1	22	5861
11.011	1	2	1102	2	2	22	5861
11.012	1	1	1102	3	1	22	5861
12.011	1	2	1202	2	2	22	5861
12.012	1	1	1202	3	1	22	5861
13.011	1	2	1302	2	2	0	349
13.012	1	1	1302	3	1	20	4904
14.011	1	2	1402	2	2	20	4904
14.012	1	1	1402	3	1	20	4904
15.011	1	2	1502	2	2	0	349
15.012	1	1	1502	3	1	18	4107
16.011	1	2	1602	2	2	18	4107
16.012	1	1	1602	3	1	18	4107
17.011	1	2	1702	2	2	18	4107
17.012	1	1	1702	3	1	18	4107
18.011	1	2	1802	2	2	18	4107
18.012	1	1	1802	3	1	18	4107
19.011	1	2	1902	2	2	0	349
19.012	1	1	1902	3	1	0	349
19.013	1	2	1902	4	2	0	349
19.014	1	1	1902	5	1	0	349
19.015	1	2	1902	6	2	0	349
19.016	1	1	1902	7	1	0	349
19.017	1	2	1902	8	2	16	3822
19.018	1	1	1902	9	1	16	3822
20.011	1	2	2002	2	2	16	3822
20.012	1	1	2002	3	1	16	3822
21.011	1	2	2102	2	2	16	3822
21.012	1	1	2102	3	1	16	3822
22.011	1	2	2202	2	2	0	349
22.012	1	1	2202	3	1	0	349
22.013	1	2	2202	4	2	0	349
22.014	1	1	2202	5	1	0	349
22.015	1	2	2202	6	2	0	349
22.016	1	1	2202	7	1	0	349
22.017	1	2	2202	8	2	14	3182
22.018	1	1	2202	9	1	14	3182
23.011	1	2	2302	2	2	14	3182
23.012	1	1	2302	3	1	14	3182
24.011	1	2	2402	2	2	14	3182
24.012	1	1	2402	3	1	14	3182
25.011	1	2	2502	2	2	14	3182
25.012	1	1	2502	3	1	14	3182
26.011	1	2	2602	2	2	14	3182
26.012	1	1	2602	3	1	14	3182
27.011	1	2	2702	2	2	12	2481
27.012	1	1	2702	3	1	12	2481
28.011	1	2	2802	2	2	12	2481
28.012	1	1	2802	3	1	12	2481
29.011	1	2	2902	2	2	12	2481
29.012	1	1	2902	3	1	12	2481
30.011	1	2	3002	2	2	12	2481
30.012	1	1	3002	3	1	12	2481
31.011	1	2	3102	2	2	0	349
31.012	1	1	3102	3	1	12	2481
32.011	1	2	3202	2	2	12	2481
32.012	1	1	3202	3	1	12	2481
33.011	1	2	3302	2	2	0	349
33.012	1	1	3302	3	1	10	1980
34.011	1	2	3402	2	2	10	1980
34.012	1	1	3402	3	1	10	1980
35.011	1	2	3502	2	2	10	1980
35.012	1	1	3502	3	1	10	1980
36.011	1	2	3602	2	2	10	1980
36.012	1	1	3602	3	1	10	1980
37.011	1	2	3702	2	2	10	1980
37.012	1	1	3702	3	1	10	1980
38.011	1	2	3802	2	2	10	1980
38.012	1	1	3802	3	1	10	1980
39.011	1	2	3902	2	2	8	1764
39.012	1	1	3902	3	1	8	1764
40.011	1	2	4002	2	2	8	1764
40.012	1	1	4002	3	1	8	1764
41.011	1	2	4102	2	2	8	1764
41.012	1	1	4102	3	1	8	1764
42.011	1	2	4202	2	2	8	1764
42.012	1	1	4202	3	1	8	1764
43.011	1	2	4302	2	2	8	1764
43.012	1	1	4302	3	1	8	1764
44.011	1	2	4402	2	2	8	1764
44.012	1	1	4402	3	1	8	1764
45.011	1	2	4502	2	2	8	1764
45.012	1	1	4502	3	1	8	1764
46.011	1	2	4602	2	2	8	1764
46.012	1	1	4602	3	1	8	1764
47.011	1	2	4702	2	2	6	1287
47.012	1	1	4702	3	1	6	1287
48.011	1	2	4802	2	2	6	1287
48.012	1	1	4802	3	1	6	1287
49.011	1	2	4902	2	2	6	1287
49.012	1	1	4902	3	1	6	1287
50.011	1	2	5002	2	2	6	1287
50.012	1	1	5002	3	1	6	1287
51.011	1	2	5102	2	2	6	1287
51.012	1	1	5102	3	1	6	1287
52.011	1	2	5202	2	2	6	1287
52.012	1	1	5202	3	1	6	1287
53.011	1	2	5302	2	2	6	1287
53.012	1	1	5302	3	1	6	1287
54.011	1	2	5402	2	2	6	1287
54.012	1	1	5402	3	1	6	1287
55.011	1	2	5502	2	2	6	1287
55.012	1	1	5502	3	1	6	1287
56.011	1	2	5602	2	2	6	1287
56.012	1	1	5602	3	1	6	1287
57.011	1	2	5702	2	2	6	1287
57.012	1	1	5702	3	1	6	1287
58.011	1	2	5802	2	2	6	1287
58.012	1	1	5802	3	1	6	1287
59.011	1	2	5902	2	2	4	903
59.012	1	1	5902	3	1	4	903
59.013	1	2	5902	4	2	4	903
59.014	1	1	5902	5	1	4	903
60.011	1	2	6002	2	2	4	903
60.012	1	1	6002	3	1	4	903
60.013	1	2	6002	4	2	4	903
60.014	1	1	6002	5	1	4	903
61.011	1	2	6102	2	2	4	903
61.012	1	1	6102	3	1	4	903
61.013	1	2	6102	4	2	4	903
61.014	1	1	6102	5	1	4	903
62.011	1	2	6202	2	2	4	903
62.012	1	1	6202	3	1	4	903
62.013	1	2	6202	4	2	4	903
62.014	1	1	6202	5	1	4	903
63.011	1	2	6302	2	2	4	903
63.012	1	1	6302	3	1	4	903
63.013	1	2	6302	4	2	4	903
63.014	1	1	6302	5	1	4	903
64.011	1	2	6402	2	2	4	903
64.012	1	1	6402	3	1	4	903
64.013	1	2	6402	4	2	4	903
64.014	1	1	6402	5	1	4	903
65.011	1	2	6502	2	2	4	903
65.012	1	1	6502	3	1	4	903
65.013	1	2	6502	4	2	4	903
65.014	1	1	6502	5	1	4	903
66.011	1	2	6602	2	2	4	903
66.012	1	1	6602	3	1	4	903
66.013	1	2	6602	4	2	4	903
66.014	1	1	6602	5	1	4	903
67.011	1	2	6702	2	2	4	903
67.012	1	1	6702	3	1	4	903
67.013	1	2	6702	4	2	4	903
67.014	1	1	6702	5	1	4	903
68.011	1	2	6802	2	2	4	903
68.012	1	1	6802	3	1	4	903
68.013	1	2	6802	4	2	4	903
68.014	1	1	6802	5	1	4	903
69.011	1	2	6902	2	2	4	903
69.012	1	1	6902	3	1	4	903
69.013	1	2	6902	4	2	4	903
69.014	1	1	6902	5	1	4	903
70.011	1	2	7002	2	2	4	903
70.012	1	1	7002	3	1	4	903
70.013	1	2	7002	4	2	4	903
70.014	1	1	7002	5	1	4	903
71.011	1	2	7102	2	2	4	903
71.012	1	1	7102	3	1	4	903
71.013	1	2	7102	4	2	4	903
71.014	1	1	7102	5	1	4	903
72.011	1	2	7202	2	2	4	903
72.012	1	1	7202	3	1	4	903
72.013	1	2	7202	4	2	4	903
72.014	1	1	7202	5	1	4	903
73.011	1	2	7302	2	2	4	903
73.012	1	1	7302	3	1	4	903
73.013	1	2	7302	4	2	4	903
73.014	1	1	7302	5	1	4	903
74.011	1	2	7402	2	2	4	903
74.012	1	1	7402	3	1	4	903
74.013	1	2	7402	4	2	4	903
74.014	1	1	7402	5	1	4	903
75.011	1	2	7502	2	2	4	903
75.012	1	1	7502	3	1	4	903
75.013	1	2	7502	4	2	4	903
75.014	1	1	7502	5	1	4	903
76.011	1	2	7602	2	2	4	903
76.012	1	1	7602	3	1	4	903
76.013	1	2	7602	4	2	4	903
76.014	1	1	7602	5	1	4	903
77.011	1	2	7702	2	2	2	573
77.012	1	1	7702	3	1	4	903
77.013	1	2	7702	4	2	2	573
77.014	1	1	7702	5	1	4	903
78.011	1	2	7802	2	2	2	573
78.012	1	1	7802	3	1	2	573
78.013	1	2	7802	4	2	2	573
78.014	1	1	7802	5	1	2	573
79.011	1	2	7902	2	2	2	573
79.012	1	1	7902	3	1	2	573
79.013	1	2	7902	4	2	2	573
79.014	1	1	7902	5	1	2	573
80.011	1	2	8002	2	2	2	573
80.012	1	1	8002	3	1	2	573
80.013	1	2	8002	4	2	2	573
80.014	1	1	8002	5	1	2	573
81.011	1	2	8102	2	2	2	573
81.012	1	1	8102	3	1	2	573
81.013	1	2	8102	4	2	2	573
81.014	1	1	8102	5	1	2	573
82.011	1	2	8202	2	2	2	573
82.012	1	1	8202	3	1	2	573
82.013	1	2	8202	4	2	2	573
82.014	1	1	8202	5	1	2	573
83.011	1	2	8302	2	2	2	573
83.012	1	1	8302	3	1	2	573
83.013	1	2	8302	4	2	2	573
83.014	1	1	8302	5	1	2	573
84.011	1	2	8402	2	2	2	573
84.012	1	1	8402	3	1	2	573
84.013	1	2	8402	4	2	2	573
84.014	1	1	8402	5	1	2	573
85.011	1	2	8502	2	2	2	573
85.012	1	1	8502	3	1	2	573
85.013	1	2	8502	4	2	2	573
85.014	1	1	8502	5	1	2	573
86.011	1	2	8602	2	2	2	573
86.012	1	1	8602	3	1	2	573
86.013	1	2	8602	4	2	2	573
86.014	1	1	8602	5	1	2	573
87.011	1	2	8702	2	2	2	573
87.012	1	1	8702	3	1	2	573
87.013	1	2	8702	4	2	2	573
87.014	1	1	8702	5	1	2	573
88.011	1	2	8802	2	2	2	573
88.012	1	1	8802	3	1	2	573
88.013	1	2	8802	4	2	2	573
88.014	1	1	8802	5	1	2	573
89.011	1	2	8902	2	2	2	573
89.012	1	1	8902	3	1	2	573
89.013	1	2	8902	4	2	2	573
89.014	1	1	8902	5	1	2	573
90.011	1	2	9002	2	2	2	573
90.012	1	1	9002	3	1	2	573
90.013	1	2	9002	4	2	2	573
90.014	1	1	9002	5	1	2	573
